"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.639121027E2,6.501154568E1,2.546307885E1,8.366952534E0,1.440000057E0,3.191000061E2,3.790092468E0,3.176867247E0
1.649097320E2,6.501155404E1,2.546305040E1,7.369999082E0,1.419999957E0,3.032000122E2,3.790092468E0,3.039935112E0
1.659116852E2,6.501156300E1,2.546302444E1,7.803648600E0,1.419999957E0,3.051000061E2,3.790092468E0,2.885129213E0
1.669128966E2,6.501157181E1,2.546299829E1,8.471306951E0,1.399999976E0,3.007000122E2,3.790092468E0,2.794004679E0
1.679144822E2,6.501157751E1,2.546297161E1,7.254689120E0,1.419999957E0,2.992999878E2,3.790092468E0,2.612064600E0
1.689141054E2,6.501158251E1,2.546294333E1,6.716110998E0,1.450000048E0,2.953999939E2,3.790092468E0,2.500000000E0
1.699225751E2,6.501159028E1,2.546291616E1,5.815898584E0,1.409999967E0,3.015000000E2,3.790092468E0,2.500000000E0
1.709133374E2,6.501159658E1,2.546288680E1,5.597083068E0,1.409999967E0,3.050000000E2,3.790092468E0,2.500000000E0
1.719130862E2,6.501160562E1,2.546286455E1,5.053865136E0,1.250000000E0,3.152999878E2,3.790092468E0,2.500000000E0
1.729132626E2,6.501161561E1,2.546284107E1,4.479885033E0,1.429999948E0,3.172000122E2,3.790092468E0,2.500000000E0
1.739144456E2,6.501162666E1,2.546281976E1,4.185506723E0,1.429999948E0,3.222000122E2,3.790092468E0,2.500000000E0
1.749094367E2,6.501163518E1,2.546279284E1,4.486771087E0,1.509999990E0,3.025000000E2,3.790092468E0,2.500000000E0
1.759120647E2,6.501164280E1,2.546276857E1,4.751720064E0,1.409999967E0,3.062000122E2,3.790092468E0,2.500000000E0
1.769098011E2,6.501165175E1,2.546274738E1,4.588812298E0,1.389999986E0,3.150000000E2,3.790092468E0,2.500000000E0
1.779108510E2,6.501166164E1,2.546272633E1,4.677369022E0,1.409999967E0,3.167000122E2,3.790092468E0,2.500000000E0
1.789132648E2,6.501167152E1,2.546271169E1,4.493160086E0,1.309999943E0,3.267000122E2,3.790092468E0,2.500000000E0
1.799146707E2,6.501168265E1,2.546269565E1,4.326162483E0,1.429999948E0,3.287999878E2,3.790092468E0,2.500000000E0
1.809114997E2,6.501169331E1,2.546267800E1,4.261948151E0,1.429999948E0,3.305000000E2,3.790092468E0,2.500000000E0
1.819118856E2,6.501170366E1,2.546266169E1,4.578532372E0,1.399999976E0,3.337999878E2,3.790092468E0,2.500000000E0
1.829113702E2,6.501171569E1,2.546264324E1,4.678624096E0,1.440000057E0,3.315000000E2,3.790092468E0,2.500000000E0
1.839140422E2,6.501172733E1,2.546262580E1,5.027068091E0,1.409999967E0,3.317000122E2,3.790092468E0,2.500000000E0
1.849145331E2,6.501173731E1,2.546260680E1,5.864831465E0,1.409999967E0,3.272999878E2,3.790092468E0,2.511132717E0
1.859130350E2,6.501175003E1,2.546258948E1,5.038897610E0,1.509999990E0,3.373999939E2,3.790092468E0,2.564566374E0
1.869146297E2,6.501176072E1,2.546257001E1,5.284741731E0,1.370000005E0,3.377999878E2,3.790092468E0,2.500000000E0
1.879121589E2,6.501177453E1,2.546254741E1,5.084051226E0,1.649999976E0,3.295000000E2,3.790092468E0,2.658674955E0
1.889098773E2,6.501178863E1,2.546252995E1,5.128295050E0,1.509999990E0,3.407000122E2,3.790092468E0,2.618226528E0
1.899137640E2,6.501180136E1,2.546251006E1,5.074272630E0,1.490000010E0,3.257999878E2,3.790092468E0,2.770237923E0
1.909136890E2,6.501181308E1,2.546248821E1,5.304430150E0,1.580000043E0,3.237000122E2,3.790092468E0,2.723345280E0
1.919136277E2,6.501182430E1,2.546246157E1,5.529582644E0,1.590000033E0,3.212000122E2,3.790092468E0,2.592445135E0
1.929138499E2,6.501183512E1,2.546244093E1,4.918432002E0,1.429999948E0,3.260000000E2,3.790092468E0,2.500000000E0
1.939091275E2,6.501184561E1,2.546242903E1,3.872223505E0,1.440000057E0,3.117999878E2,3.790092468E0,2.500000000E0
1.949130476E2,6.501185675E1,2.546241646E1,3.414820863E0,1.440000057E0,3.135000000E2,3.790092468E0,2.500000000E0
1.959133683E2,6.501186665E1,2.546239765E1,3.162374316E0,1.429999948E0,3.135000000E2,3.790092468E0,2.500000000E0
1.969161675E2,6.501187577E1,2.546237655E1,3.241226738E0,1.470000029E0,3.173999939E2,3.790092468E0,2.701274157E0
1.979137455E2,6.501188680E1,2.546235717E1,2.540293387E0,1.470000029E0,3.275000000E2,3.790092468E0,2.895504713E0
1.989140224E2,6.501189637E1,2.546233392E1,2.393132299E0,1.480000019E0,3.163999939E2,3.790092468E0,3.076872826E0
1.999141317E2,6.501190454E1,2.546230693E1,2.618102838E0,1.580000043E0,3.092000122E2,3.790092468E0,3.049463272E0
2.009090982E2,6.501191475E1,2.546228489E1,2.559991881E0,1.460000038E0,3.170000000E2,3.790092468E0,3.236426830E0
2.019096999E2,6.501192389E1,2.546225917E1,2.835071996E0,1.480000019E0,3.098999939E2,3.790092468E0,3.504841328E0
2.029114528E2,6.501193313E1,2.546223600E1,3.183028228E0,1.470000029E0,3.173999939E2,3.790092468E0,3.559581757E0
2.039138688E2,6.501194237E1,2.546221014E1,3.514016497E0,1.480000019E0,3.126000061E2,3.790092468E0,3.816241741E0
2.049291532E2,6.501194535E1,2.546217492E1,3.338597836E0,1.470000029E0,2.932999878E2,3.790092468E0,3.670008421E0
